eruptionID,year,waiting_min,dur
1090262,1993,84.0,3.51
1090263,1993,80.0,4.16
1090264,1993,71.0,4.11
1090265,1993,89.0,4.00
1090266,1993,55.0,2.30
1090267,1993,93.0,4.30
1090268,1993,47.0,1.53
1090269,1993,95.0,4.41
1090327,1993,56.0,1.45
1090328,1993,93.0,4.17
1090329,1993,54.0,2.14
1090330,1993,90.0,4.47
1090331,1993,55.0,2.01
1090332,1993,82.0,4.34
1090333,1993,62.0,2.00
1090365,1993,51.0,1.49
1090366,1993,85.0,4.44
1090367,1993,64.0,2.00
1090368,1993,86.0,4.35
1090369,1993,52.0,1.47
1090370,1993,92.0,4.49
1090371,1993,55.0,1.29
1090399,1993,60.0,1.53
1090400,1993,86.0,4.45
1090401,1993,61.0,1.51
1090402,1993,90.0,4.25
1090403,1993,55.0,2.07
1090404,1993,81.0,4.35
1090405,1993,75.0,3.00
1090447,1993,59.0,1.55
1090448,1993,91.0,4.18
1090449,1993,48.0,1.48
1090450,1993,89.0,4.35
1090451,1993,49.0,1.47
1090452,1993,99.0,4.00
1090453,1993,53.0,1.43
1090479,1993,74.0,4.15
1090480,1993,57.0,1.51
1090482,1993,81.0,4.06
1090483,1993,52.0,2.02
1090484,1993,88.0,4.43
1090485,1993,55.0,2.13
1090486,1993,96.0,4.38
1090513,1993,89.0,4.06
1090514,1993,58.0,1.41
1090515,1993,80.0,4.37
1090519,1993,94.0,4.32
1090563,1993,88.0,4.02
1090564,1993,55.0,1.26
1090565,1993,85.0,4.27
1090566,1993,61.0,1.50
1090567,1993,91.0,4.32
1090568,1993,65.0,1.46
1090569,1993,80.0,4.38
1090570,1993,77.0,3.58
1090571,1993,78.0,3.41
1090754,1993,85.0,3.05
1090755,1993,63.0,1.41
1090756,1993,81.0,4.33
1090757,1993,85.0,4.11
1090758,1993,72.0,3.53
1090759,1993,84.0,3.59
1090760,1993,58.0,1.58
1090775,1993,75.0,4.05
1090776,1993,80.0,3.16
1090777,1993,76.0,4.30
1090778,1993,81.0,3.44
1090779,1993,76.0,4.16
1090792,1993,71.0,2.50
1090794,1993,80.0,4.15
1090795,1993,51.0,1.50
1090796,1993,88.0,4.52
1090797,1993,56.0,2.04
1090798,1993,89.0,4.47
1090811,1993,50.0,1.54
1090812,1993,85.0,4.21
1090813,1993,57.0,1.54
